Ma_BDS,Ngay_dang,So_phong_ngu,So_nha_tam,Duong,Phuong,Quan,Thanh_pho,Dien_tich_su_dung,Dien_tich_dat,Chieu_dai,Chieu_rong,Gia_ban
21827558,18/08/2023,7.0,7.0,Song Hành Quốc Lộ 22, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,500.0,250.0,20.0,12.5,11900000000.0
22278878,09/08/2023,5.0,5.0,Phạm Văn Sáng, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,300.0,300.0,20.0,10.0,18000000000.0
22158387,20/06/2023,6.0,4.0,Trung Mỹ, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,1100.0,1100.0,60.0,17.0,27800000000.0
21765842,30/04/2023,4.0,4.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,1800.0,1800.0,55.0,21.0,66000000000.0
22103880,27/04/2023,5.0,5.0,Tô Ký, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,1527.0,1527.0,70.0,21.82,65000000000.0
22064790,09/04/2023,2.0,2.0,Dương Công Khi, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,102.0,56.0,14.0,4.0,695000000.0
22066591,07/04/2023,6.0,7.0,Tân Hiệp 16, Xã Tân Hiệp, Huyện Hóc Môn, TPHCM,390.0,1920.0,44.0,42.0,25999000000.0
21907132,23/03/2023,3.0,2.0,Xuân Thới Sơn 27, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,80.0,40.0,10.0,4.0,460000000.0
21874487,23/03/2023,2.0,2.0,Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,80.0,40.0,10.0,4.0,550000000.0
21858436,23/03/2023,2.0,2.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,80.0,40.0,10.0,4.0,400000000.0
22007635,21/02/2023,3.0,1.0,Trung Đông 7, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,152.0,152.0,19.0,8.0,3450000000.0
22007632,21/02/2023,4.0,3.0,Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,120.0,96.0,16.0,6.0,3800000000.0
21979064,14/02/2023,5.0,6.0,Đường số 2, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,600.0,160.0,18.0,14.0,14000000000.0
21704766,28/01/2023,3.0,2.0,Bùi Thị Lùng, Xã Thới Tam Thôn, Huyện Hóc Môn, TPHCM,114.0,176.0,22.0,7.9,7500000000.0
21853931,28/01/2023,4.0,5.0,Song Hành, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,321.0,321.0,32.0,10.0,17000000000.0
21859364,16/12/2022,3.0,3.0,Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, TPHCM,120.0,60.0,15.0,4.0,890000000.0
21777404,16/12/2022,4.0,3.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,240.0,100.0,20.0,5.0,950000000.0
21921309,06/12/2022,3.0,3.0,Tam Đông, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,224.0,224.0,16.0,14.0,5600000000.0
21663874,22/10/2022,4.0,5.0,Đặng Thúc Vịnh, Xã Đông Thạnh, Huyện Hóc Môn, TPHCM,,472.0,39.0,13.0,24000000000.0
21687855,21/10/2022,4.0,3.0,Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, TPHCM,300.0,300.0,35.0,8.5,11000000000.0
21728524,09/10/2022,4.0,5.0,Bà Triệu, Xã Tân Xuân, Huyện Hóc Môn, TPHCM,,320.0,32.0,10.0,17000000000.0
21570230,04/10/2022,2.0,1.0,Song Hành, Thị Trấn Hóc Môn, Huyện Hóc Môn, TPHCM,320.0,320.0,20.0,16.0,8000000000.0
21853513,30/09/2022,3.0,2.0,Thiên Quang, Xã Trung Chánh, Huyện Hóc Môn, TPHCM,133.0,133.0,22.0,8.2,7400000.0
21811849,24/09/2022,4.0,3.0,Bùi Công Trừng, Xã Nhị Bình, Huyện Hóc Môn, TPHCM,276.0,848.0,49.0,18.0,21000000000.0
21836994,23/09/2022,4.0,5.0,Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, TPHCM,,165.0,23.0,7.0,7800000000.0
